action,roster_name,roster_address,matched_school,match_score,region,note
skip_exists,Broadmoor Elementary School,"3401 NW 83rd St, Miami, FL 33147",Broadmoor Elementary,address,central,Same street address as an existing school.
create,Cutler Bay Middle School,"19400 Gulfstream Rd, Cutler Bay, FL 33157",,0.381,south,Region del presupuesto oficial 26/27.
create,Dante B. Fascell Elementary School,"15625 SW 80th St, Miami, FL 33193",,0.375,west,Region del presupuesto oficial 26/27.
skip_exists,Dr Rolando Espinosa K-8,"11250 NW 86th St, Doral, FL 33178",Dr. Rolando Espinosa K-8,address,north,Same street address as an existing school.
skip_exists,Dr. Charles R. Drew K-8 Center,"1775 NW 60th St, Miami, FL 33142",Charles R. Drew K-8,address,central,Same street address as an existing school.
create,Dr. Manuel C. Barreiro Elementary School,"5125 SW 162nd Ave, Miami, FL 33185",,0.368,west,Region del presupuesto oficial 26/27.
create,Ethel Koger Beckham Elementary School,"4702 SW 143rd Ct, Miami, FL 33175",,0.324,west,Region del presupuesto oficial 26/27.
create,G. Holmes Braddock Senior High School,"3601 SW 147th Ave, Miami, FL 33185",,0.303,west,Nombre corregido (Braddack -> Braddock). Region del presupuesto 26/27.
create,Greenglade Elementary School,"3060 SW 127th Ave, Miami, FL 33175",,0.385,west,Region del presupuesto oficial 26/27.
create,Henry Filer Middle School,"531 W 29th St, Hialeah, FL 33012",,0.364,north,Region del presupuesto oficial 26/27.
create,Hialeah Miami Lakes Senior High,"7977 W 12th Ave, Hialeah, FL 33014",,0.600,north,Region del presupuesto oficial 26/27.
create,Hialeah Middle School,"6027 E 7th Ave, Hialeah, FL 33013",,0.364,north,Region del presupuesto oficial 26/27.
skip_exists,Hialeah Senior High School,"251 E 47th St, Hialeah, FL 33013",Hialeah Senior High,address,north,Same street address as an existing school.
skip_exists,Holmes Elementary School,"1175 NW 67th St, Miami, FL 33150",Holmes Elementary School,address,central,Same street address as an existing school.
create,Howard D. McMillan Middle School,"13100 SW 59th St, Miami, FL 33183",,0.375,west,Region del presupuesto oficial 26/27.
skip_exists,Irving & Beatrice Peskoe K-8,"29035 SW 144th Ave, Miami, FL 33033",Irving & Beatrice Peskoe K-8,address,south,Same street address as an existing school.
skip_exists,Jane S. Roberts K-8 Center,"14850 Cottonwood Cir, Miami, FL 33185",Jane S. Roberts K-8 Center,address,south,Same street address as an existing school.
skip_exists,Joe Hall Elementary School,"1901 SW 134th Ave, Miami, FL 33175",Joe Hall Elementary,address,south,Same street address as an existing school.
skip_exists,John Ferguson Senior High School,"15900 SW 56th St, Miami, FL 33185",John A. Ferguson Sr. High School,address,south,Same street address as an existing school.
skip_exists,Lakeview Elementary School,"1290 NW 115th St, Miami, FL 33167",Lakeview Elementary School,address,central,Same street address as an existing school.
create,Lamar Louise Curry Middle School,"15750 SW 47th St, Miami, FL 33185",,0.328,west,Region del presupuesto oficial 26/27.
create,Laura C. Saunders Elementary School,"505 SW 8th St, Homestead, FL 33030",,0.313,south,REGION INFERIDA por ciudad - confirmar.
create,Lehrman Community Day School,"727 Lehrman Dr, Miami Beach, FL 33141",,0.294,east,Region del presupuesto oficial 26/27.
skip_exists,Liberty City Elementary School,"1855 NW 71st St, Miami, FL 33147",Liberty City Elementary,address,central,Same street address as an existing school.
skip_exists,Lillie C. Evans K-8 Center,"1895 NW 75th St, Miami, FL 33147",Lillie C. Evans K-8,address,central,Same street address as an existing school.
create,Marjory Stoneman Douglas Elementary School,"11901 SW 2nd St, Miami, FL 33184",,0.341,west,Region del presupuesto oficial 26/27.
create,Mast Academy,"3979 Rickenbacker Cswy, Key Biscayne, FL 33149",,0.174,central,Region del presupuesto oficial 26/27.
skip_exists,Melrose Elementary School,"3050 NW 35th St, Miami, FL 33142",Melrose Elementary School,address,central,Same street address as an existing school.
create,North Dade Middle School,"1840 NW 157th St, Miami Gardens, FL 33054",,0.560,north,Region del presupuesto oficial 26/27.
skip_exists,North Miami Middle School,"700 NE 137th St, North Miami, FL 33161",North Miami MS,address,north,Same street address as an existing school.
skip_exists,Orchard Villa Elementary School,"5720 NW 13th Ave, Miami, FL 33142",Orchard Villa Elementary School,address,central,Same street address as an existing school.
create,Paul L. Dunbar K-8,"505 NW 20th St, Miami, FL 33127",,0.323,central,Region del presupuesto oficial 26/27.
create,Paul W. Bell Middle School,"11800 NW 2nd St, Miami, FL 33182",,0.261,west,Region del presupuesto oficial 26/27.
create,Royal Green Elementary School,"13047 SW 47th St, Miami, FL 33175",,0.417,west,Region del presupuesto oficial 26/27.
skip_exists,Van E. Blanton Elementary School,"10327 NW 11th Ave, Miami, FL 33150",Van E. Blanton Elementary,address,central,Same street address as an existing school.
create,Village Green Elementary School,"12265 SW 34th St, Miami, FL 33175",,0.400,west,Region del presupuesto oficial 26/27.
create,W. R. Thomas Middle School,"13001 SW 26th St, Miami, FL 33175",,0.348,west,Region del presupuesto oficial 26/27.
create,Zora Neale Hurston Elementary School,"13137 SW 26th St, Miami, FL 33175",,0.350,west,Region del presupuesto oficial 26/27.
